tu,nghia
Airship, Tàu không khí
Speedboat, Thuyền tốc độ
Fishing Boat, Thuyền đánh cá
Jet Ski, Máy tạo sóng
Canopy, Ô nắng
Roof Rack, Khung nắng
Exhaust Pipe, Ống xả
Windshield, Kính chắn gió
Dashboard, Bảng điều khiển
Headlight, Đèn pha
Taillight, Đèn hậu
Bumper, Bộ phận bảo vệ trước xe
Tire, Lốp xe
Wheel, Bánh xe
Steering Wheel, Vô lăng
Brake, Phanh
Accelerator, Bàn đạp ga
Clutch, Ly hợp
Gearshift, Cần số
Key, Chìa khóa
Engine, Động cơ
Transmission, Hộp số
Battery, Ắc quy
Exhaust System, Hệ thống xả khí
Fuel Tank, Bình nhiên liệu
Radiator, Bình nước làm mát
Air Conditioning, Điều hòa không khí
GPS (Global Positioning System), Hệ thống định vị toàn cầu
Radio, Đài phát thanh
CD Player, Máy nghe đĩa CD
Bluetooth, Kết nối Bluetooth
Dashboard Camera, Camera ghi hình trên xe
Seat Belt, Dây đeo an toàn
Airbag, Gói khí an toàn
Car Alarm, Báo động ô tô
GPS Navigation, Định hướng GPS
Cruise Control, Điều khiển hành trình
Hybrid Engine, Động cơ lai
Suspension, Hệ thống treo
Transmission Fluid, Dầu hộp số
Spark Plug, Bóng đèn gắp lửa
Oil Filter, Bộ lọc dầu
Windshield Wipers, Cần gạt nước kính chắn gió
Rearview Mirror, Gương hậu
Sunroof, Cửa nóc
Horn, Còi xe
Ignition, Hệ thống đánh lửa
Side Mirror, Gương phụ
Gasoline, Xăng
Diesel, Dầu diesel
Electric Vehicle (EV), Xe điện
Hybrid Electric Vehicle (HEV), Xe điện lai
Plug-in Hybrid Electric Vehicle (PHEV), Xe điện lai có thể sạc
Autonomous Vehicle, Xe tự lái
Ride-sharing, Chia sẻ chuyến đi
Carpooling, Cùng nhau đi chung
Traffic Jam, Kẹt xe
Head, Đầu
Face, Khuôn mặt
Hair, Tóc
Eye, Mắt
Ear, Tai
Nose, Mũi
Mouth, Miệng
Lip, Môi
Tooth, Răng
Tongue, Lưỡi
Neck, Cổ
Throat, Họng
Shoulder, Vai
Arm, Cánh tay
Elbow, Khuỷu tay
Hand, Tay
Finger, Ngón tay
Thumb, Ngón tay cái
Chest, Ngực
Breast, Vùng ngực
Heart, Trái tim
Back, Lưng
Stomach, Dạ dày, bụng
Abdomen, Bụng dưới
Waist, Eo
Hip, Hông
Buttocks, Mông
Leg, Chân
Thigh, Đùi
Knee, Đầu gối
Calf, Bắp chân dưới
Ankle, Cổ chân
Foot, Bàn chân
Heel, Gót chân
Sole, Đáy chân
Toe, Ngón chân
Skin, Da
Nerve, Thần kinh
Bone, Xương
Muscle, Cơ
Joint, Khớp xương
Organ, Cơ quan
Brain, Não
Spine, Xương sống
Rib, Sườn
Lung, Phổi
Liver, Gan
Kidney, Thận
Bladder, Bàng quang
Intestine, Ruột
Pancreas, Tuyến tụy
Spleen, Lách
Gallbladder, Túi mật
Thyroid, Tuyến giáp
Pituitary Gland, Tuyến yên
Adrenal Gland, Tuyến thượng thận
Ovary, Buồng trứng (nữ)
Testicle, Tinh hoàn (nam)
Uterus, Tử cung
Cervix, Cổ tử cung
Vagina, Âm đạo
Penis, Dương vật
Testis, Tinh hoàn
Artery, Động mạch
Vein, Tĩnh mạch
Blood, Máu
Skin, Da
Nails, Móng tay
Palm, Bàn tay
Wrist, Cổ tay
Pulse, Nhịp tim
Freckle, Tàn nhang
Birthmark, Vết sẹo
Scar, Sẹo
Wrinkle, Nếp nhăn
Cell, Tế bào
Tissue, Mô
Tendon, Gân
Ligament, Dây chằng
Cartilage, Sụn
Epidermis, Biểu bì
Dermis, Lớp da dưới
Pore, Lỗ chân lông
Sweat Gland, Tuyến mồ hôi
Fat, Mỡ
Blood Vessel, Mạch máu
Lymph Node, Bạch huyết
Hormone, Hormon
Enzyme, Enzyme
Digestive System, Hệ tiêu hóa
Respiratory System, Hệ hô hấp
Circulatory System, Hệ tuần hoàn
Nervous System, Hệ thần kinh
Endocrine System, Hệ nội tiết
Immune System, Hệ miễn dịch
Reproductive System, Hệ sinh sản
Respiratory Tract, Đường hô hấp
Nervous Tissue, Mô thần kinh
Glandular Tissue, Mô tuyến
Skeletal System, Hệ xương
